This column has important keywords, like level name, intro, deaths, end. And alt version for platforms alt-c64 alt-speccy alt-amiga alt-atari (default is CPC with no tag, alt must be after)	Comment (give about about the context of the sentence)	Original french text	Translation ENGLISH	Initial of translator	Word check. Should be less than 168	Translation SPANISH	Initial of translator	Word check. Should be less than 168	Translation ITALIAN	Initial of translator	Word check. Should be less than 168	Translation GREEK	Initial of translator	Word check. Should be less than 168	Translation GERMAN	Initial of translator	Word check. <168	Translation POLISH	Initial of translator	Word check. <168	Translation MALTESE	Initial of translator	Word check. <168	mt
		NON. J'y étais presque, mais mon pied s'enfonce dans une flaque profonde là, et je me fais choper par ce con de démon. Si tu peux trouver un autre chemin...	NO. I was almost there, but my feet are sinking into a deep\npuddle. And now I’m caught by\n this demon asshole. If you can\n find another way...	CLIVE CK	145	NO. Ya casi estaba, pero he metido el pie en un charco profundo, y ese demonio idiota me atrapa. Si puedes encontrar otro camino...	miguelsky robcfg	131	NO! C'ero quasi, ma il mio piede è affondato in una profonda pozzanghera. Quello stronzo di demone mi ha beccato! Devi trovare un'altra strada...	Mr. DVG	145	ΟΧΙ. Σχεδόν έφτασα, αλλά το πόδι μου βυθίζεται σε μια μικρή λίμνη και ο δαιμονοκαριόλης με πιάνει. Αν μπορείς να βρεις άλλον δρόμο...	msg/SK	133	NEIN. Ich war fast da, aber ich trete in eine tiefe Pfütze und dieser Dämonenwichser fasst mich. Kannst Du einen anderen Weg finden?	Yth	132	NIE!! Było już tak blisko, ale moja stopa zapadła się w głęboką kałużę. Obudzony Demon natychmiast mnie pochwycił. Postaraj się może znaleźć inną drogę...	PS2 SP	154	NO. I kien kważi hemm, iżda sinkijiet sieq tiegħi fi puddle fond hemmhekk, u jien jkollna busted mill-daemon con. Jekk inti tista 'ssib mod ieħor ...		149	Le. Jien kont kważi hemm, imma s-saqajn tiegħi jinżel ġo puddle fond hemmhekk, u niġi ixxukkjat minn dan id-dimostrazzjoni. Jekk tista 'ssib mod ieħor ...
end		NON. J'essaie de courir dans le passage, mais je trébuche sur une pierre. Va falloir y aller plus doucement si je veux pas attirer l'attention de ce démon.	NO. I try to run through the passage, but I stumble on a rock. You’re gonna have to take it\n slower if you want to avoid\n that demon’s attention.	CLIVE CK	147	NO. Trato de correr por el camino, pero tropiezo con una piedra. Tendremos que ser más sigilosos si no queremos llamar la atención de este demonio.	miguelsky robcfg	147	NO! Sto cercando di correre nel passaggio, ma inciampo su una pietra... Andiamo più lentamente se non vogliamo attirare l'attenzione di questo demone.	Mr. DVG	150	ΟΧΙ. Προσπαθώ να τρέξω στο πέρασμα, αλλά σκοντάφτω σε μια πέτρα. Θα πρέπει να πας πιο αργά, αν δεν θες να σε καταλάβει ο δαίμονας.	msg/SK	130	NEIN. Ich renne los und stolpere prompt über einen Felsen. Wir müssen etwas langsamer machen, wenn ich die Aufmerksamkeit dieses Dämons nicht erregen will.	Yth Phoenix	155	NIE. Próbuję biec do wyjścia, ale wpadam na spory głaz. Będzie trzeba podejść do tego spokojniej, jeśli nie chcemy ponownie zwrócić na siebie uwagi tego demona.	PS2 SP	160	NO. Nipprova biex imexxu fil-passaġġ, iżda I stumble fuq ġebel. Se jkollhom imorru aktar xkiel jekk irrid li tiġbed attenzjoni għal din dimostrazzjo.		149	Le. Nipprova nimxi fil-passaġġ, imma jien stumble fuq ġebel. Se jkollu jmur aktar bil-mod jekk ma rridx niġbed l-attenzjoni ta 'din id-dimostrazzjoni.
Level82		Original french text. Uppercases words appear in Yellow in game, so keep them uppercase. 	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.	add your initials in that cell		ROJO = Sin traducir ORANGE = Traducido Verde = traducido y verificado.	add your initials in that cell		ROSSO = Non tradotto ARANCIONE = Tradotto Verde = Tradotto e verificato.	add your initials in that cell		ΚΟΚΚΙΝΟ = Χωρίς μετάφραση ORANGE = Μεταφράστηκε Πράσινο = Μεταφρασμένη και επαλήθευσε.	add your initials in that cell		ROT = Nicht übersetzt ORANGE = Übersetzt Grün = übersetzt und verifiziert.	auto	74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	Test oriġinali Franċiż. Kliem ta 'uppercases jidhru fl-isfar fil-logħba, u għalhekk żommhom uppercase. 
intro	This is an animated river. Player can not se the zones where he can click.	Très violemment je me retrouve dans de l'eau très froide. C'est la rivière maudite. Vu le courant, il faut rapidement que je gagne la berge de l'autre côté.	Very violently I find myself in\n freezing water. It is the cursed\n river. Given the strong current,\n I need to get to the bank on\n the other side quickly.	CLIVE CK	158	De forma muy violenta me encuentro en agua helada. Es el río maldito. A pesar de la corriente, debo llegar a la otra orilla rápidamente.	robcfg miguelsky	136	Mi ritrovo catapultato in acque molto fredde. E`il fiume maledetto! Una forte corrente mi costringe a raggiungere in fretta la riva sul lato opposto.	Mr. DVG	149	Ξαφνικά, πέφτω σε πολύ κρύο νερό. Είναι το καταραμένο ποτάμι. Με τέτοιο ρεύμα, πρέπει να πάω σβέλτα στην όχθη στην άλλη πλευρά του ποταμού.	msg/SK	139	Ich bin in den verfluchten Fluss gefallen! Das Wasser ist eiskalt! Bei dieser starken Strömung muss ich schnell die andere Seite erreichen.	Yth	139	Niespodziewanie wpadam do bardzo zimnej wody. Wygląda to na jakąś przeklętą rzekę! Prąd jest bardzo silny, muszę więc jak najszybciej dostać się na drugi brzeg.	PS3 SP	160	Vjolentement I find myself fl-ilma kiesaħ ħafna. Hu l-xmara kkritikat. Minħabba-most attwali malajr nagħmel l-bank fuq in-naħa l-oħra.		134	Vjolenti insib ruħi fl-ilma kiesaħ ħafna. Huwa x-xmara kkritikata. Minħabba l-kurrent għandu malajr nagħmel il-bank fuq in-naħa l-oħra.
		Comme j'ai la tête à moitié sous l'eau, je ne distingue pas les zones vertes et rouges. Tu vas devoir te débrouiller pour les trouver.	My head is half underwater,\n so I can’t see the green and\n red areas. You’re going to\n have to find them.	CLIVE CK	108	Con la cabeza medio sumergida, no distingo las zonas verdes y rojas. Vas a tener que encontrarlas.	robcfg miguelsky	98	La mia testa è per metà sott'acqua e non riesco a distinguere tra zone rosse e verdi. Dovrai aiutarmi a trovarle!	Mr. DVG	113	Το κεφάλι μου είναι μισοβιθυσμένο και έτσι δεν μπορώ να ξεχωρίσω τις πράσινες και τις κόκκινες περιοχές. Πρέπει να τις βρεις εσύ.	msg/SK	129	Ich kann den Kopf nicht über Wasser halten und sehe so die grünen und roten Bereiche nicht. Du musst sie finden!	Yth	112	Moja głowa jest zanurzona do połowy pod wodą, nie widzę różnic między czerwonymi i zielonymi strefami. Będziesz musiał je odznaleźć sam.	PS2 SP	136	Kif ras nofs taħt l-ilma, jien ma jiddistingwux bejn iż-żoni aħmar u aħdar. Int ser ikollok biex jaħsbu għal innifsek biex isibu lilhom.		136	Kif għandi nofs taħt l-ilma, ma niddistingwix żoni ħodor u ħomor. Int ser ikollok fend għalihom biex isibuhom.
		OUI très bien. Je nage avec beaucoup de difficulté jusque-là. Il doit y avoir des Kappas ici, ce sont des YOKAIS qui noient les gens ou les animaux.	YES very well. I manage to swim, but with great difficulty. There must be Kappas here, they are YOKAIS who drown people or animals.	CLIVE CK	131	SÍ, muy bien. He conseguido nadar, pero con mucha dificultad. Debe haber Kappas aquí, son YOKAIS que ahogan a personas o animales.	robcfg miguelsky	130	SI`, molto bene! Ho nuotato con grande difficoltà finora. Devono esserci dei Kappa qui! Sono degli YOKAI che annegano persone o animali.	Mr. DVG	136	ΝΑΙ, πολύ καλά. Κολυμπώ ως εκει, με μεγάλη δυσκολία. Υποπτεύομαι οτι θα έχει Kappa εκεί, YOKAI που αρέσκονται να πνίγουν ανθρώπους και ζώα.	msg/SK	139	Ja sehr gut. Das Schwimmen ist verflucht anstrengend. Und ich fürchte, es wird hier Kappas geben; YOKAI, die gerne andere Lebewesen ertränken.	Yth	142	TAK, w porządku. Płynę, ale z wielkim trudem. Tutaj muszą być wodne stwory KAPPA, czyli DEMONY które uwielbiają topić ludzi i zwierzęta.	PS2 SP	136	IVA multa. I jgħum b'diffikultà kbira qabel. Hemm għandu jkollu Kappas hawn huma Youkai WHO nies drown u annimali.		114	Loading...
		PARFAIT. J'arrive à nager là. Les KAPPAS adorent manger la chair des enfants, mais c'est con j'en ai pas sur moi !!!!	PERFECT. I can swim there.\n The KAPPAS love to eat the\n flesh of children. Doubt\n they'd want my old skin!	CLIVE CK	109	PERFECTO. Puedo nadar hasta allí. ¡A los KAPPAS les encanta comer carne de niños, ¡pero no llevo encima!	robcfg miguelsky	104	PERFETTO! Riesco a nuotare fin lì. I KAPPA adorano mangiare la carne di bambino! Ma non ne ho con me!!!	Mr. DVG farox	103	ΤΕΛΕΙΑ. Κολυμπάω ως εκεί. Στα KAPPA αρέσει πολύ να τρώνε τη σάρκα παιδιών, ευτυχώς που έχω μεγαλώσει!	msg/SK	101	PERFEKT. Ich schaffe es, dorthin zu schwimmen. KAPPAS fressen liebend gerne Kinderfleisch. Ich hoffe, an meinem zähen Kadaver sind sie nicht interessiert.	Yth	154	DOSKONALE. Mogę tam dopłynąć! Wiesz, KAPPA lubią jeść mięso małych dzieci. Wątpię, by zasmakowała im moja zestarzała skóra!	PS2 SP	123	Perfetta. I jistgħu jgħumu hemmhekk. imħabba Kappas li jieklu l-laħam tat-tfal, iżda huwa stupid M'inix fuqi !!!!		113	Perfetta. Kapaċi ngħawweġ hemm. Il-Kappas imħabba li jieklu l-laħam tat-tfal, iżda huwa con I ma jkollhom fuqi !!!!
		C'EST BIEN. Je progresse vers la berge opposée !!! Ces cons de Kappas aiment aussi les concombres ! Si j'en choppe un, c'est dans son cul que je lui foutrai !!	THAT’S GOOD. I’m moving to the opposite bank! These asshole Kappas also like cucumbers! If I had one, I’d shove it up his ass!	CLIVE CK	126	BIEN. ¡¡Estoy avanzando hacia la orilla opuesta!! ¡A los idiotas de los Kappas también les gustan los pepinos! ¡Si atrapo a uno, se lo meto por el culo!	robcfg miguelsky	152	OTTIMO! Sto andando verso la riva opposta!!! Questi stronzi di Kappa amano anche i cetrioli, vero? Se ne rimedio uno glielo ficco su per il culo!	Mr. DVG	145	ΩΡΑΙΑ. Φτάνω στην απέναντι όχθη! Στα μαλακιστήρια τα Kappa αρέσουν και τα αγγούρια. Αν βρω κανένα, θα του το χώσω στον κώλο!	msg/SK	124	DAS IST GUT. Ich komme dem Ufer näher! Gurken lieben die dämlichen Kappas auch. Hätte ich eine dabei, ich würde sie einem Kappa lieber in den Arsch rammen!	Yth	155	JEST DOBRZE. Podążam do przeciw--ległego brzegu! Ponoć te głupie Kappa uwielbiają również ogórki!! Niech tylko dorwę jakiegoś, a wep--chnę mu jeden głęboko w dupę!!	PS2 SP	164	TAJJEB. I tela lill-bank oppost !!! Dawn liżvantaġġi Kappas wkoll bħal ħjar! Jekk I mug, huwa fil tagħha ħmar I foutrai lilu !!		127	Loading...
		BRAVO. Je suis bientôt sur la berge. J'ai encore salopé ma tenue Ca va sentir le chien mouillé ! Tu devras me payer le pressing quand je sortirai de ce merdier...	BRAVO. I am soon on the shore. I screwed up my outfit again - it stinks like a wet dog! You’re gonna have to pay for the dry-cleaners when I get out of this mess...	CLIVE CK	164	BRAVO. Ya casi estoy en la otra orilla. He vuelto a ensuciarme la ropa ¡Huelo a perro mojado! Tendrás que pagarme la tintorería cuando salga de este embrollo...	robcfg miguelsky	160	BRAVO! Sono quasi sulla riva. Ho di nuovo rovinato il mio vestito! Puzzerà di cane bagnato! Dovrai pagarmi la lavanderia quando uscirò da questo casino...	Mr. DVG	154	ΜΠΡΑΒΟ. Σύντομα φθάνω στην όχθη. Πάλι γάμησα τη στολή μου, σκυλοβρωμάει! Όταν τελειώσει αυτη η ιστορία, το καλό που σου θέλω να μου πληρωσεις το καθαριστήριο...	msg/SK	160	BRAVO. Ich habe das Ufer fast erreicht. Och nee, guck Dir meine Klamotten an - die werden doch stinken wie ein nasser Köter! Die Reinigung bezahlst aber Du!	Yth	156	BRAWO. Niebwem osiągnę drugi brzeg. Nieźle sponiewierałem mój strój. Capi jak mokry kundel! Opłacisz mi dobrą pralnię, kiedy wydostanę się z tego bałaganu!	PS2 SP	155	PROSET. I am dalwaqt fuq il-bank. I għadhom messed up libsa tiegħi Hija se riħa bħal kelb imxarrab! Int ser ikollok tħallas me jinxfu meta I toħroġ din mess ...		160	PROSET. Jiena dalwaqt fuq il-bank. Għadni slut l-ilbies tiegħi se jħossu l-kelb imxarrab! Int ser ikollok tħallas għall-ippressar meta toħroġ minn dan il-ħniena ...
		OUIIIII. Me voici en sécurité sur la berge. Tu sais que je commence à t'aimer ma couille de panda ! Tu as bien progressé depuis le début.	YESSSSS. Here I am safely on the shore. You know, you're starting\n to grow on me, my little merkin!\n You have progressed well\n since the beginning.	CLIVE CK	150	SIIIIÍ Aquí estoy a salvo en la orilla. ¿Sabes que me estás empezando a gustar, mi cojón de panda? Has progresado mucho desde el principio.	miguelsky robcfg	139	SIIIIIIIIII! Eccomi al sicuro sulla riva. Sai che inizi a piacermi, caro il mio bel coglionazzo? Hai fatto molti progressi dall'inizio.	Mr. DVG	135	ΝΑΙΙΙΙ. Έφτασα ασφαλής στην όχθη. Ξέρεις, έχω αρχίσει να σε συμπαθώ, παλιοαρχιδάκι! Έχεις κάνει δυνατή πρόοδο από την αρχή.	msg/SK	123	JAWOLL. Das sichere Ufer. Weißt Du, langsam mag ich Dich wirklich, mein kleiner Pandapimmel. Du machst echte Fortschritte, seit wir hier reingeraten sind.	Yth	154	TAAK. Na brzegu jestem bezpieczny. Wiesz, zaczynam Cię kochać, mój Ty misiaczku mały! Od początku zrobiłeś całkiem niezłe postępy. Ha, ha, ha!	PS3 SP	142	Ouiiiii. Hawn jien sikur fuq il-bank. Inti taf nibda love you testicle Panda tiegħi! Inti għamlu progress tajjeb mill-bidu.		123	Ouiiiii. Hawnhekk jien sikur fuq il-bank. Inti taf li qed nibda nħobbok il-ballun tal-Panda tiegħi! Inti progress sew mill-bidu.
	"ptdr" is "lol" in french "peté de rire"	Quand je rentrerai je me ferai tatouer ta tronche sur la fesse en signe d'amitié. C'est sûrement l'air nauséabond d'ici qui me fait délirer ptdr !	When I get home I’ll get your face tattooed on my buttocks\n as a sign of friendship. It’s\n probably the smelly air from\n here that makes me crazy!	CLIVE CK	149	Cuando vuelva, me tatuaré tu cara en la nalga en señal de amistad. ¡Seguramente es este aire nauseabundo lo que me hace delirar!	robcfg miguelsky	128	Quando torno a casa mi farò tatuare la tua faccia sulla chiappa in segno di amicizia. Probabilmente è l'aria nauseante di qui che mi fa delirare!	Mr. DVG	145	Όταν γυρίσω σπίτι, θα κάνω τατού τη μούρη σου στο κωλομέρι μου, σε ένδειξη φιλίας. Μάλλον η μπόχα εδώ μέσα με έχει κάνει να τα χάνω!	msg/SK	132	Ich denke, zuhause werde ich mir Dein Gesicht auf die Arschbacke tätowieren lassen. Vielleicht macht mich aber auch nur der Gestank hier bekloppt im Kopf!	Yth	154	Gdy wrócę do domu zrobię sobie tatuaż z Twoją twarzą na moim pośladku. Na znak przyjaźni. Hmm... chyba przez ten DZIWNY tu ZAPACH zaczyna mi powoli odbijać!	PS3 SP	156	Meta I-ritorn I ser tatwaġġ wiċċ tiegħek fuq il-warrani fl ħbiberija. Dan huwa żgur l-mniġġsa arja billi tagħmel me ptdr delirious!		131	Meta mmur id-dar i se tatwaġġ wiċċek fuq il-warrani fil-ħbiberija. Huwa żgur li l-arja nauseating minn hawn li tagħmel me PTDR delirious!
deaths		NON. Mauvaise idée de passer par là. Je sens quelque chose qui m'enroule la cheville et m'entraîne vers le fond. Je suis noyé et dévoré, ou l'inverse !	NO. Bad idea to go through here. I feel something winding round\n my ankle and dragging me to\n the bottom. I’m drowned and\n devoured, or vice versa!	CLIVE CK	150	NO. Mala idea. Siento algo que se me enrolla en el tobillo y me arrastra al fondo. ¡Me ahogo y me comen, o al revés!	robcfg miguelsky	116	NO! Pessima idea passare lì. Sento qualcosa che mi avvolge la caviglia e mi trascina giù. Sono annegato e divorato... o viceversa!	Mr. DVG	130	ΟΧΙ. Κακή ιδέα να πάω από εδώ. Νιώθω κάτι να μου αρπάει τον αστράγαλο και να με βυθίζει στον πάτο. Πνίγομαι και γίνομαι δείπνο, όχι κατ'ανάγκη με αυτή τη σειρά!	msg/SK	160	NEIN. Da lang ist eine schlechte Idee! Etwas umfasst meinen Knöchel und zieht mich auf den Grund. Während ich ertrinke werde ich angenagt. Oder andersrum.	Yth	154	NIE. To był zły pomysł, by płynąć tędy. Czuję, że coś owija mi nogę i pociąga mnie na dno. Ginę tonąc i będąc pożartym! ...W tej, lub odwrotnej kolejności!	PS2 SP	155	NO. Bad idea li jmorru din ir-rotta. Inħoss xi ħaġa mgeżwra għaksa tiegħi u mkaxkra me lill-qiegħ. I għerqu u jittiekel, jew l-oppost!		134	Le. Idea ħażina li tgħaddi minn hemm. Inħoss xi ħaġa li tgħawweġ l-għaksa tiegħi u twassalni sal-qiegħ. I am għerqu u devoured, jew l-oppost!
		MAUVAISE IDEE ici aussi. Tout un tas de vilaines bestioles me bouffent le ventre. Mes intestins se répandent dans la rivière devenue rouge ! Trouve un autre chemin.	BAD IDEA here too. A whole bunch of nasty critters are eating my belly. My intestines are spreading as the river turns red!\n Find another way out.	CLIVE CK	147	MALA IDEA aquí también. Un puñado de criaturas malvados me arrancan las tripas. ¡Mis intestinos se extienden por el río, que se tiñe de rojo! Busca otro camino.	robcfg miguelsky	160	PESSIMA IDEA anche qui. Un gruppo di bestiacce mi divorano la pancia. Le mie budella si sparpagliano nel fiume, che diventa rosso! Trova un altro modo.	Mr. DVG	151	Κι εδώ ΚΑΚΗ ΙΔΕΑ. Ένα τσούρμο από σατανικά ζωύφια μου τρώνε την κοιλιά. Τα εντόσθια μου ξεχύνονται και το ποτάμι γίνεται κόκκινο! Βρες άλλον τρόπο.	msg/SK	147	Noch eine SCHLECHTE IDEE. Ein Schwarm kleiner fieser Viecher frisst sich in meinen Bauch. Der Fluss verfärbt sich rot, während mein Innerstes davontreibt.	Yth	154	To także ZŁY POMYSŁ. Cała banda nieprzyjemnych stworzeń wżera się w mój brzuch. Moje wnętrzości wylane do rzeki barwią wodę na czerono! Musisz znaleźć inna drogę.	PS2 SP	162	IDEA BAD hawnhekk ukoll. A mazz sħiħ ta 'critters diżgustanti jieklu up żaqq tiegħi. imsaren tiegħi mxerrda fil-xmara daru aħmar! Sib mod ieħor.		144	Idea ħażina hawn ukoll. Munzell sħiħ ta 'krims ikrah brew żaqq tiegħu. L-imsaren tiegħi qed jinfirxu fix-xmara li saret ħamra! Sib mod ieħor.
		NON. Par là le courant est trop fort et ma tête percute un énorme rocher. Je meurs noyé et mon corps est dévoré un peu plus loin par des saletés démoniaques !	NO. The current is too strong, and my head hits a huge rock.\n I drown and my corpse is devoured\n by demonic filth!	CLIVE CK	116	NO. Por ahí la corriente es demasiado fuerte y mi cabeza golpea una roca enorme. ¡Muero ahogado y mi cuerpo es devorado rio abajo por criaturas demoníacas!	robcfg miguelsky	155	NO! La corrente è troppo forte e la mia testa colpisce un masso enorme. Muoio annegato e poco dopo il mio corpo viene divorato da esseri demoniaci!	Mr. DVG	147	ΟΧΙ. Το ρεύμα είναι πολύ ισχυρό και το κεφάλι μου χτυπάει έναν τεράστιο βράχο. Πνίγομαι και το σώμα μου καταβροχθίζεται από βρωμερά τέρατα!	msg/SK	139	NEIN. Hier ist die Strömung zu stark und mein Kopf stößt gegen einen riesigen Stein. Benommen ertrinke ich und mein Körper versinkt in dämonischem Schlamm!	Yth	155	NIE. Tutaj prąd rzeki jest zbyt silny i moja głowa uderza w ogromną skałę. Tonę, a trochę dalej moje zwłoki są pożerane przez ohydne, wygłodniałe demony!	PS2 SP	153	NO. Għalhekk il-kurrent huwa qawwi wisq u my head hit blat enormi. I die għerqu u devoured korp tiegħi huwa ftit aktar minn ibel demonic!		137	Loading...
end		AIE. Mes mains et mes pieds sont attrapés par des sortes de tentacules qui m'attirent au fond de l'eau. Je pense que tu veux même pas savoir ce qui m'a dévoré !	OUCH! My hands and feet are\n caught by some tentacles that\n draw me deep under the water.\n I don’t think you even want\n to know what ate me!	CLIVE CK	144	AY. Mis manos y mis pies son atrapados por unos tentáculos que me arrastran al fondo. ¡Creo que ni querrás saber que es lo que me devora!	robcfg miguelsky	137	AAARGH! Mani e piedi mi vengono catturati da una sorta di tentacoli che mi attirano sul fondo dell'acqua. Vuoi davvero sapere cosa mi ha divorato?	Mr. DVG	146	ΩΧ. Κάτι πλοκάμια με πιάνουν χειροπόδαρα και με τραβούν στον πάτο του ποταμιού. Δεν θέλεις να ξέρεις τι με έφαγε!	msg/SK	113	ARGH. Kräftige Tentakel winden sich mir um Hände und Füße und ziehen mich unter Wasser. Du wirst nicht wissen wollen, was mich da gerade gefressen hat!	Yth	151	AUĆ. Moje ręce i nogi zostają pochwycone przez jakieś macki, które wciągają mnie głeboko pod wodę. Myślę, że nie chcesz wie--dzieć, co mnie później pożarło!	PS2 SP	156	Ouch. idejn tiegħi u saqajn huma maqbuda mill-tipi ta 'tentakli li jattiraw me lill-qiegħ. Naħseb li inti saħansitra jridu jafu dak I devoured!		143	Ouch. Idejn u saqajn tiegħi huma maqbuda minn tip ta 'tentakli li jattiraw lili fil-qiegħ tal-ilma. Naħseb li lanqas biss trid tkun taf dak iddedikatni!
Level83		Original french text. Uppercases words appear in Yellow in game, so keep them uppercase. 	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.	add your initials in that cell		ROJO = Sin traducir ORANGE = Traducido Verde = traducido y verificado.	add your initials in that cell		ROSSO = Non tradotto ARANCIONE = Tradotto Verde = Tradotto e verificato.	add your initials in that cell		ΚΟΚΚΙΝΟ = Χωρίς μετάφραση ORANGE = Μεταφράστηκε Πράσινο = Μεταφρασμένη και επαλήθευσε.	add your initials in that cell		ROT = Nicht übersetzt ORANGE = Übersetzt Grün = übersetzt und verifiziert.	auto	74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	Test oriġinali Franċiż. Kliem ta 'uppercases jidhru fl-isfar fil-logħba, u għalhekk żommhom uppercase. 
intro	This is the big boss.	Je marche un peu le long de la berge et enfin la voila...\nNURE-ONNA !!!! Cette conne est en train de brosser ses cheveux au bord de la rivière.	I walk a little along the bank\n and finally here she is...\nNURE-ONNA! The bitch is brushing\n her hair at the edge of the river.	CLIVE CK	130	Camino un poco por la orilla y aquí está.\n¡¡NURE-ONNA!! Esta perra se está cepillando el pelo en el río.	robcfg miguelsky	105	Cammino lungo la riva per un pò e finalmente eccola...\nNURE-ONNA!!! Quella cagna si sta spazzolando i capelli in riva al fiume.	Mr. DVG	128	Προχωράω κατά μήκος της όχθης και, επιτέλους, να την. Η NURE-ONNA!!!! Η μαλακισμένη χτενίζει τα μαλλιά της στην όχθη του ποταμού.	msg/SK	129	Ich muss dem Ufer nur ein kurzes Stück folgen und endlich stoße ich auf sie: NURE-ONNA! Da hockt die Nutte und bürstet sich das Haar am Fluss.	Yth	142	Idę kawałek wzdłuż brzegu i.. TAK! W końcu!! To ona! Widzę ją, to... NURE-ONNA!!! Ta suka siedzi spokojnie na brzegu rzeki i czesze sobie włosy.	PS3 SP2	144	I walk daqsxejn tul ix-xatt u finalment voila ...\nNURE-ONNA !!!! Dan kelba qed tipprova brush xagħar tagħha fil-xmara.		119	Loading...
		Ne te laisse pas avoir par son apparence flatteuse. C'est une vraie saloperie en réalité. Les pires monstres se cachent sous l'aspect de belles personnes...	Don’t be fooled by its flattering appearance. It’s a real bitch in reality. The worst monsters hide under the appearance of beautiful people...	CLIVE CK	143	No te dejes engañar por su apariencia encantadora. En realidad es una auténtica zorra. Los peores monstruos se esconden bajo el aspecto de gente hermosa...	robcfg miguelsky	155	Non lasciarti ingannare dal suo aspetto grazioso. E`proprio una puttana! I mostri peggiori si nascondono sempre sotto l'aspetto di belle persone...	Mr. DVG	147	Μη σε ξεγελάει η ομορφιά της. Είναι μια απίστευτη σκύλα στην πραγματικότητα. Τα χειρότερα τέρατα κρύβονται πίσω από την όψη όμορφων ανθρώπων...	msg/SK	143	Lass Dich nicht von ihrer Anmut täuschen. Das ist wahrlich eine miese Schlampe. Die übelsten Monster verstecken sich hinter der Maske schöner Menschen...	Yth	153	Nie daj się nabrać na jej ponętny i miły wygląd. To w rzeczywistości prawdziwie groźna suka. Najgorsze potwory ukrywają się pod postacią pięknych ludzi!	PS2 SP	152	Ma jkun imqarraq mill-dehra flattering tagħhom. Huwa ħażin reali verament. -Monsters agħar ħabi taħt l-apparenza ta 'nies sbieħ ...		131	Tħallikx id-dehra flattanti tiegħu. Huwa immejjel reali fir-realtà. L-agħar monsters jaħbu fid-dehra ta 'nies sbieħ ...
		Tiens tu sais que Nure-onna ça veut dire FEMME HUMIDE ? C'est pas ce que tu penses gros pervers ! Elle vit au bord de l'eau et souvent elle noie ses victimes.	Do you know that Nure-onna\n means WET WOMAN? That’s not\n what you think, perv!\n She just lives by the water\n and often drowns her victims.	CLIVE CK	142	¿Sabes que Nure-Onna significa MUJER HÚMEDA? ¡No es lo que piensas, pervertido! Vive cerca del agua y a menudo ahoga a sus víctimas.	robcfg miguelsky	132	Sai che Nure-Onna vuol dire DONNA UMIDA? Non è quello che pensi, brutto pervertito! Vive in riva al mare e spesso affoga le sue vittime...	Mr. DVG	138	Το ξέρεις οτι Nure-onna σημαίνει υγρή γυναίκα; Όχι, ρε ανωμαλιάρη, δεν είναι αυτό που νομίζεις! Ζει κοντά στο νερό και συχνά πνίγει τα θύματά της...	msg/SK	148	Wusstest Du, dass Nure-onna NASSE FRAU bedeutet? Nass, nicht feucht, das ist nichts versautes! Sie lebt halt am Wasser und ertränkt oft ihre Opfer.	Yth	147	Czy wiesz, że Nure-onna oznacza MOKRA-KOBIETA? Nieee, to nie jest tak jak myślisz... Zboczeńcu! To dlatego, że ona mieszka nad wodą i często topi tam swoje ofiary.	PS3 SP2	163	Ukoll taf Nure-Onna jfisser mara WET? Mhuwiex dak li taħseb jħassru kbar! Hija tgħix fl-ilma u ta 'spiss drowns vittmi tiegħu.		126	Taf li nurna-onna tfisser mara imxarrba? Mhuwiex dak li taħseb big pervers! Hija tgħix fit-tarf ta 'l-ilma u ta' spiss hija għerq il-vittmi tagħha.
